,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Entreprise A,Entreprise B,Type d'alliance,Date,Concurrence,Explication alliance,Source,commentaire
Adobe,Figma,Tentative d'acquisition,,,Tentative d’acquisition stratégique - annulée,https://www.forbes.fr/business/adobe-met-fin-a-laccord-de-rachat-de-figma-pour-20-milliards-de-dollars/,
Alibaba,Baidu,Accord de coopération stratégique,,,Collaboration sur IA générative,https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_8c8e5e71-5bd3-43f5-a25f-1089f1a559a6,
Alibaba,Apple,Accord de coopération stratégique,,,Partenariat sur l'IA en Chine,https://www.lesechos.fr/tech-medias/intelligence-artificielle/apple-et-alibaba-sassocient-pour-developper-lia-des-iphone-en-chine-2148563,
Amazon,Nvidia,Accord de coopération stratégique,,,"Partenariat sur cloud et GPU pour IA générative,collaboration stratégique de longue date des entreprises pour fournir l'infrastructure, les logiciels et les services les plus sécurisés et les plus avancés pour aider les clients à débloquer de nouvelles capacités d'intelligence artificielle (IA) générative.",https://www.tradingsat.com/amazoncom-US0231351067/actualites/amazoncom-amazon-nouvelle-collaboration-entre-aws-et-nvidia-1110339.html,partenaire depuis 14ans
Amazon,Verizon,Accord de coopération stratégique,,,Partenariat edge computing 5G,https://www.cnbc.com/2021/10/26/verizon-partnering-with-amazon-project-kuiper-satellite-internet.html,
Amazon,Hugging Face,Accord de coopération stratégique,,,"Partenariat IA générative, Google et la start-up Hugging Face s'unissent pour démocratiser l'IA, en mettant l'accent sur l'open science, l'open source et l'intégration avec Google Cloud ;",https://www.abondance.com/20240129-364126-google-hugging-face-partenariat.html,
Amazon,SAP,Accord de coopération stratégique,,,"Partenariat cloud d’entreprise, souveraineté numérique en europe",https://news.sap.com/france/2025/09/aws-et-sap-renforcent-leur-collaboration-pour-faire-progresser-la-souverainete-numerique-en-europe/,
Amazon,Anthropic,Investissement,,,Investissement stratégique et hébergement sur AWS,https://cafetech.fr/2024/11/26/pourquoi-amazon-mise-autant-sur-anthropic/,
AMD,TSMC,Client/fournisseur,,,Utilisation des puces ,https://hardwareand.co/actualites/breves/quels-sont-les-principaux-clients-de-tsmc-en-2025-puis-2026-voici-la-liste,
Anthropic,Salesforce,Accord de coopération stratégique,,,Partenariat pour deployer Claude dans la plateforme de salesforce,https://in.investing.com/news/company-news/salesforce-and-anthropic-expand-partnership-for-regulated-industries-93CH-5042907,
Anthropic,Google Cloud,Accord de coopération stratégique,,,Accord pour infrastructure et sécurité IA,https://www.anthropic.com/events/google-cloud-next-2025,
Apple,Broadcom,Accord de coopération stratégique,,,Fabrication de puces IA,https://www.bloomberg.com/news/videos/2024-12-11/apple-broadcom-in-chip-partnership-reports-video,
Apple,TSMC,Client/fournisseur,2025,,Production des puces Apple ,https://www.macg.co/aapl/2023/08/appletsmc-un-partenariat-de-geants-ne-autour-dun-diner-138593,
Apple,Foxconn,Client/fournisseur,,,Partenariat industriel pour assemblage,https://manufacturingdigital.com/technology/manufacturing-profile-foxconn-apples-premier-production-partner,
AWS,Adobe,Accord de coopération stratégique,2024,,Partenariat marketing cloud,"AWS Blog, 2023, https://martech360.com/tech-analytics/adobe-and-amazon-web-services-partner-to-bring-adobe-experience-platform-to-brands/",
Baidu,Uber,Accord de coopération stratégique,,,Partenariat pour le lancement de robo-taxis en Asie et MO,https://www.lefigaro.fr/flash-eco/uber-s-associe-au-chinois-baidu-pour-deployer-des-robotaxis-20250715,
Baidu,Huawei,Accord de coopération stratégique,,,Partenariat developpement navigation connectée,http://mobilite-verte.com/news/article-482.html,
Broadcom,TSMC,Client/fournisseur,,,Utilisation des puces ,https://hardwareand.co/actualites/breves/quels-sont-les-principaux-clients-de-tsmc-en-2025-puis-2026-voici-la-liste,
BYD,Deepseek,Accord de coopération stratégique,,,IA pour voiture,https://fr.euronews.com/business/2025/02/12/voitures-electriques-le-constructeur-chinois-byd-mise-sur-lia-avec-deepseek,
ByteDance,Amazon,Accord de publicité,2024,,Accord publicitaire,"https://www.lsa-conso.fr/amazon-s-associe-a-tiktok-et-pinterest-pour-favoriser-les-achats-via-ces-reseaux-sociaux,456777",
Capgemini,Cloud4C,Petite Acquisition,,,,List of 64 Acquisitions by Capgemini (Sep 2025) - Tracxn,
Capgemini,WNC,Petite Acquisition,,,,List of 64 Acquisitions by Capgemini (Sep 2025) - Tracxn,
Capgemini,DeltaCapita,Petite Acquisition,,,,List of 64 Acquisitions by Capgemini (Sep 2025) - Tracxn,
